	fold_change	P-value	std_error	-log10(P-value)	protein
342	-0.39910383367090535	0.5024981967410683	0.525102668416904	0.2988654924085853	Vamp8
343	-1.4053465631412485	0.49379036498823564	1.8086400017443323	0.30645738842852177	Aoc3
344	-0.20589279453094078	0.5582692343346528	0.3135397463897852	0.25315630502947606	Psma3
345	-0.3485290793491145	0.5355200468845296	0.4994645035233862	0.2712242669640177	Stx7
346	-0.5086296350984899	0.710835876281863	1.2475231545196925	0.14823066122963696	Gnaz
347	1.887988084281122	0.16266048480727463	1.0247833036636687	0.7887179376253803	Sfn
348	-0.9424628163705817	0.07202920460588638	0.3454092487998008	1.1424913809637203	Vamp4
349					Ubr1
350	-1.222479408003852	0.5557549128931086	1.8490083738026164	0.25511668943340454	Snx3
351					Clcn7
352	-0.6725694657093738	0.5576568403927913	1.0225114272923121	0.2536329662392516	Hsd17b12
353					Srpk1
354					Pigr
355	-0.23017148615924723	0.6026731485905317	0.39692584546906323	0.21991815759254987	Smpd2
356					Cask
357	-0.504066317418286	0.4903769751002341	0.6431563842761284	0.30946992964312564	Pfdn2
358					KRT33A
359					KRT34
360					KRT15
361					Ttc3
362	0.370815534121405	0.3884181517826315	0.3685053977330914	0.4107004825878507	Cfdp1
363	3.4022443388266814	0.011030433613175	0.6032593461177115	1.9574074148392537	Znf326
364					Sorl1
365	-0.2764791076947998	0.7227181749067184	0.7093055010153856	0.14103102351300806	Nid2
366	-0.19958113582914405	0.692947120404893	0.4587936371732734	0.159299905637245	Wdr1
367					Ikbkb
368					Tulp3
369	-0.22525823418446433	0.6280746195590445	0.418882085907937	0.20198875604372676	Papss2
370	0.028227163270006295	0.8775277687891856	0.16837633782607866	0.05673913168140019	Mtx2
371	-1.067371814183566	0.4352880165260361	1.1883914725948006	0.3612232887999962	Dhcr7
372	-0.11752289994991749	0.8941121415064992	0.8121058964780126	0.04860800762113608	Capns1
373	2.414442329029769	0.08050311734924295	0.9292861042118955	1.0941873019754695	Dync1i1
374					Pde8a
375					Dnmt3a
376	-0.17194261329328692	0.7605975107146056	0.5153237450005506	0.11884510028215363	Ap1g2
377	0.6277727047914248	0.5045370699075097	0.830265095421428	0.29710691928865557	Shoc2
378					Ikbkg
379	-0.6156109937708685	0.5585616319053696	0.9382142237101938	0.25292889968418303	Ppt1
380	0.5556332958233349	0.7309166582811237	1.471820227081067	0.13613214002172178	Zfr
381	-0.2592585881588134	0.7047495425187071	0.6217885505165608	0.15196519737429628	Ddc
382	-0.3972539498057328	0.6346611469153505	0.7537633766294555	0.19745808778459314	Cops3
383	-0.5477096264637191	0.5454632924581038	0.8058541415839782	0.2632344704088948	Cops4
384	-0.21616444752513497	0.8834990697646197	1.3563278333252975	0.05379390342524794	Cops6
385					Men1
386	-0.09002331886455939	0.8618720239635027	0.4753179656926679	0.06455721609250162	Hnrnpa2b1
387	-0.9049846697242997	0.3888008488439051	0.9001794880789196	0.41027279557749774	Comt
388					Becn1
389	-0.07951234187516915	0.9151850073622015	0.6871036695367794	0.03849110314152133	Gosr1
390	-0.5197724622311046	0.7161650225592235	1.300559115735292	0.1449868937129261	Lamtor3
391					Brd7
392	0.35388841092783063	0.7521194003632261	1.022509358649985	0.12371320887293784	Creg1
393	-0.2531956752355762	0.7490290374861162	0.7220773469227053	0.12550134575107474	Psmc3
394	-0.44923174348025263	0.4225467747391166	0.48489646864492086	0.37412520887595185	Clpp
395					Stk16
396	-1.4406778263832947	0.5004033559176043	1.8854349674486546	0.30067978640545595	Ctbp1
397					Hsd17b7
398					Bsn
399	0.23263581551123913	0.639080480160344	0.4474908075305641	0.19444444718014642	Birc6
400	-0.628191056545347	0.4158620959339023	0.6671527712760223	0.3810506619311095	Gdap1
401	-1.2951543786653525	0.5258536843931614	1.809636792055991	0.27913507885048483	Tom1
402	0.28966580438140044	0.7463089522182494	0.8167367490757576	0.12708134884500985	F11r
403					Rpp30
404	-1.2077890596962857	0.4252366662047618	1.312224030146729	0.37136929531558716	Dcx
405					Stam2
406					Cradd
407	-1.0429588448399159	0.3156621343497733	0.8678382088799641	0.5007775113267837	Idh1
408					Akap10
409	0.07316509618651802	0.4015284928515992	0.0750518576854963	0.3962836313338256	Arl6
410	1.1435854544283681	0.5722988540517547	1.8096443113910792	0.24237712370457223	Rbbp9
411					Tpst2
412					Ccnk
413	0.10031449975355439	0.846755427235774	0.47652606225398175	0.07224201108605423	Syn1
414					Zbtb7a
415	-1.15926602781503	0.13067865280400587	0.5609788773410249	0.8837953514142475	Lin7c
416	-0.7036118896079533	0.18932422680932473	0.41597508690223384	0.7227938081366754	Gnpda1
417					Yme1l1
418	-0.1622699776070502	0.885205125847013	1.0334675815592615	0.052956079922561454	Tcn2
419	-0.019925026876303514	0.9814785629120213	0.7907012949379083	0.008119181658156708	Stx8
420	-1.014747734441302	0.24129131772343257	0.6967075204030677	0.617458304832374	Gcat
421	-0.5520097011027527	0.5786223388889656	0.8889910927311943	0.23760480354505084	Cpd
422					Abcd4
423					Lgmn
424	-1.0075985673585164	0.4690254594180127	1.2188270941374455	0.3288035824775443	Tpp1
425					Robo1
426	0.5347241782504155	0.5158450811425405	0.7280068979277793	0.28748070633164324	Sh3pxd2a
427					Itm2b
428	-2.2879785920305804	0.09862953471031584	0.9659656815009741	1.0059930156771468	Coro1a
429	0.005825168862163332	0.9920326431872251	0.537442994183047	0.003474036996188867	Cope
430	0.20613264430559863	0.6834092969396102	0.45834175371915553	0.16531911745691094	Rbm3
431					Sp1
432	5.139583706649205	0.02801041182275245	1.2849302067935182	1.5526805059199478	Casp14
433					Cd93
434	-0.28349275987537625	0.8494472077241697	1.371230659920054	0.07086360691444413	Fhit
435	3.2944477766609412	0.05910608502580736	1.1095410629300575	1.2283678058007774	Lancl1
436	0.2196059179379857	0.5560250687631961	0.3323979231230374	0.2549056275184972	Vti1a
437					Cyct
438					Mt-Cyb
439	0.3662865332824601	0.5749609941079022	0.5839118965804801	0.2403616172552408	Adh1
440					Dhfr
441					Mtco1
442	0.09407074995932563	0.9143755869687481	0.8051791894524745	0.038875377742144744	Mtco2
443	0.015003177456925032	0.9772891169416962	0.4855193875331457	0.00997693749132842	mt-Co3
444					SOD1
445	-0.8205989593859794	0.38772927635900895	0.8141292246683173	0.4114714053865606	Hprt1
446					Rnase1
447	0.6640594412422065	0.5345756080350949	0.9492769165838437	0.2719908613996019	Amy1
448	-1.110687730492685	0.43764053918118434	1.2437366028059442	0.35888245557948395	Amy2a5
449	-0.23673739963898172	0.5267243923827023	0.3315296397610114	0.27841656918397617	LYZ
450	0.6071284857295369	0.48288310087024083	0.7602118095019668	0.3161579930407891	
451					Mtatp6
452					ALDOA
453	0.2782044685413599	0.6043706140007585	0.4821297451825924	0.2186966602952477	Ca2
454					SERPINC1
455	-3.3894333449322955	0.0023044471616843094	0.3482684757253206	2.637433245296898	SERPINB14
456	0.10417670803054935	0.5224918858720504	0.14429249816152395	0.2819204496156768	C3
457	0.5530381682124501	0.7260272726906639	1.4371141035832349	0.13904706503462194	C4b
458					C5
459	0.5172451902267827	0.4464461755950071	0.5918126986769842	0.3502308929929702	Ins1
460	0.7676170946705225	0.32689558006125674	0.6567316795100296	0.48559095145384207	Ins2
461	-1.4096059485679826	0.4844908253096723	1.7721544754187446	0.3147144426691688	Jchain
462					
463	-0.6166075471137948	0.8692814074443426	3.443057587976947	0.06083960914817794	
464					
465					
466	0.41771281141051353	0.12127458831891251	0.1947345005008947	0.9162301909639319	
467					
468					
469	-1.0233407794833487	0.6502638102207297	2.0389676149442106	0.1869104155427516	
470					
471					
472					
473					
474					Thy1
475	-0.8467748877904783	0.42277097212394843	0.9144985939271347	0.37389483943266505	Igkc
